Date,Open,High,Low,Close,Adj Close,Volume
2017-08-15,84.580002,85.010002,84.419998,84.589996,79.596275,2766000
2017-08-16,84.830002,84.919998,84.540001,84.599998,79.605698,4376200
2017-08-17,84.480003,84.849998,83.639999,83.669998,78.730591,3789000
2017-08-18,83.320000,83.809998,83.120003,83.410004,78.485939,4441000
2017-08-21,83.330002,84.019997,82.940002,83.519997,78.589432,4691500
2017-08-22,81.459999,82.150002,81.000000,81.760002,76.933342,9382100
2017-08-23,81.320000,81.570000,79.449997,79.750000,75.042007,8667500
2017-08-24,79.690002,80.099998,79.110001,79.239998,74.562103,7365000
2017-08-25,79.419998,79.849998,79.029999,79.059998,74.392738,4231200
2017-08-28,79.570000,79.870003,79.400002,79.589996,74.891441,4900800
2017-08-29,79.360001,79.900002,79.019997,79.720001,75.013779,4130900
2017-08-30,79.699997,79.919998,79.339996,79.860001,75.145500,3725800
2017-08-31,80.000000,80.720001,79.800003,80.620003,75.860657,5661900
2017-09-01,80.699997,80.750000,79.879997,80.050003,75.324287,3133400
2017-09-05,79.879997,80.400002,79.570000,79.820000,75.107887,3255800
2017-09-06,79.919998,80.080002,79.360001,79.870003,75.154915,3784000
2017-09-07,79.919998,80.279999,79.709999,79.949997,75.230186,3387000
2017-09-08,79.900002,82.480003,79.900002,82.029999,77.187408,7881000
2017-09-11,82.250000,82.500000,81.190002,81.559998,76.745148,5854100
2017-09-12,81.500000,82.360001,81.089996,82.300003,77.441452,4073500
2017-09-13,82.129997,82.449997,81.699997,81.930000,77.093300,4795100
2017-09-14,81.879997,81.930000,81.070000,81.800003,76.970985,4461900
2017-09-15,81.629997,82.139999,81.379997,82.120003,77.272095,9563400
2017-09-18,82.370003,82.540001,81.750000,82.400002,77.535561,4162500
2017-09-19,82.650002,82.739998,81.129997,81.190002,76.396996,5584800
2017-09-20,81.190002,81.510002,79.339996,80.160004,75.427803,6384400
2017-09-21,80.139999,80.550003,79.500000,79.529999,74.834991,4822000
2017-09-22,79.480003,79.889999,79.110001,79.699997,74.994949,4593200
2017-09-25,79.489998,79.589996,77.900002,78.269997,73.649376,7151300
2017-09-26,78.250000,78.879997,78.070000,78.370003,73.743462,4791000
2017-09-27,78.669998,78.870003,77.449997,77.839996,73.244743,4801700
2017-09-28,77.699997,77.910004,77.169998,77.709999,73.557114,5536500
2017-09-29,77.660004,78.010002,77.550003,77.769997,73.613907,6186200
2017-10-02,78.059998,78.230003,77.500000,78.050003,73.878944,4312900
2017-10-03,78.180000,78.199997,77.580002,78.110001,73.935753,5866600
2017-10-04,78.250000,78.900002,78.199997,78.629997,74.427956,5735200
2017-10-05,79.370003,79.860001,79.000000,79.510002,75.260941,6323200
2017-10-06,79.570000,79.809998,79.260002,79.809998,75.544899,3248500
2017-10-09,77.800003,78.260002,76.519997,76.930000,72.818810,12760100
2017-10-10,76.949997,77.379997,76.910004,77.290001,73.159561,7244100
2017-10-11,77.080002,78.480003,77.080002,78.239998,74.058800,6442300
2017-10-12,77.720001,77.959999,77.099998,77.919998,73.755898,8427000
2017-10-13,77.889999,78.230003,77.459999,78.070000,73.897888,5442000
2017-10-16,78.029999,78.440002,77.709999,77.730003,73.576050,5392200
2017-10-17,77.760002,78.239998,77.389999,78.000000,73.831619,3809600
2017-10-18,78.000000,78.889999,77.910004,78.589996,74.390091,4613200
2017-10-19,78.570000,78.989998,78.440002,78.480003,74.285973,2765000
2017-10-20,78.769997,78.879997,78.169998,78.339996,74.153450,4173800
2017-10-23,78.720001,79.250000,78.339996,79.019997,74.797096,4811600
2017-10-24,79.110001,79.199997,78.440002,78.660004,74.456367,4462300
2017-10-25,78.580002,79.309998,78.239998,79.199997,74.967499,4906500
2017-10-26,78.900002,80.720001,78.860001,80.440002,76.141243,7331100
2017-10-27,80.889999,81.690002,80.699997,81.300003,76.955269,7744000
2017-10-30,81.040001,81.059998,79.500000,80.529999,76.226425,5993800
2017-10-31,80.470001,80.809998,80.139999,80.519997,76.216957,4612000
2017-11-01,80.419998,81.160004,80.010002,80.309998,76.018181,5136500
2017-11-02,80.300003,80.580002,77.169998,77.870003,73.708572,10276700
2017-11-03,77.620003,78.709999,77.059998,78.430000,74.238655,6936600
2017-11-06,78.459999,78.489998,77.629997,77.690002,73.538193,4027000
2017-11-07,77.900002,78.190002,77.650002,78.010002,73.841103,3655100
2017-11-08,78.160004,78.160004,77.220001,77.809998,73.651779,4468000
2017-11-09,80.139999,81.120003,79.459999,80.809998,76.491455,8803500
2017-11-10,80.400002,80.470001,78.309998,79.330002,75.090546,6416400
2017-11-13,79.279999,79.419998,78.260002,79.199997,74.967499,4013700
2017-11-14,78.940002,79.370003,78.629997,79.160004,74.929642,2701100
2017-11-15,79.000000,79.139999,78.620003,78.680000,74.475288,4145400
2017-11-16,79.019997,79.680000,78.970001,79.260002,75.024284,4763500
2017-11-17,78.830002,80.089996,78.739998,79.489998,75.242012,7098000
2017-11-20,79.379997,79.720001,78.889999,78.900002,74.683540,7446700
2017-11-21,83.000000,84.110001,82.500000,82.660004,78.242592,11004000
2017-11-22,82.760002,82.970001,82.050003,82.339996,77.939690,5303300
2017-11-24,82.690002,83.500000,82.610001,83.250000,78.801064,3165600
2017-11-27,83.260002,83.540001,81.059998,81.410004,77.059410,6346500
2017-11-28,81.669998,82.580002,81.360001,82.459999,78.053276,5773700
2017-11-29,82.309998,82.980003,81.970001,82.110001,77.721977,3945500
2017-11-30,82.660004,82.779999,82.040001,82.129997,77.740906,5663900
2017-12-01,82.459999,82.570000,80.610001,81.269997,76.926880,5992800
2017-12-04,81.320000,81.370003,79.739998,79.870003,75.601692,8687800
2017-12-05,79.570000,81.470001,79.570000,80.919998,76.595589,5392200
2017-12-06,81.570000,81.800003,80.919998,81.500000,77.144585,5192100
2017-12-07,81.610001,82.089996,80.290001,80.570000,76.264282,5497500
2017-12-08,80.919998,81.120003,80.540001,81.070000,76.737572,4106400
2017-12-11,81.199997,81.540001,80.849998,81.269997,76.926880,3501400
2017-12-12,82.489998,82.690002,81.800003,82.000000,77.617867,4966500
2017-12-13,81.800003,82.160004,81.529999,81.919998,77.542130,4473300
2017-12-14,81.949997,82.480003,81.720001,81.830002,77.456963,5000700
2017-12-15,82.440002,83.699997,82.440002,83.500000,79.037704,9813100
2017-12-18,83.610001,83.779999,83.080002,83.430000,78.971451,5204200
2017-12-19,83.720001,84.110001,82.000000,82.040001,77.655724,5096500
2017-12-20,82.389999,82.970001,81.290001,81.379997,77.030998,3769400
2017-12-21,81.540001,82.459999,81.360001,81.480003,77.125664,4051200
2017-12-22,81.559998,81.959999,81.269997,81.540001,77.182457,3187500
2017-12-26,81.570000,81.879997,81.389999,81.470001,77.116188,1922500
2017-12-27,81.629997,81.930000,81.440002,81.760002,77.390701,2463100
2017-12-28,81.330002,81.580002,81.080002,81.339996,77.428757,2859800
2017-12-29,81.580002,81.800003,80.730003,80.750000,76.867134,3259900
2018-01-02,82.160004,82.690002,81.949997,82.209999,78.256927,4783500
2018-01-03,82.199997,84.820000,82.169998,83.919998,79.884705,6879100
2018-01-04,84.449997,84.900002,83.139999,84.120003,80.075096,5943200
2018-01-05,84.529999,85.739998,84.010002,85.540001,81.426819,7428500
2018-01-08,85.500000,85.690002,85.209999,85.510002,81.398262,6117600
2018-01-09,85.860001,86.750000,85.660004,85.879997,81.750450,6099900
2018-01-10,85.550003,85.989998,84.519997,85.489998,81.379211,3575300
2018-01-11,85.940002,85.940002,85.080002,85.730003,81.607674,3930300
2018-01-12,85.849998,85.989998,85.300003,85.449997,81.341141,5085900
2018-01-16,85.580002,86.129997,84.870003,85.320000,81.217384,5428200
2018-01-17,85.879997,86.449997,85.440002,86.110001,81.969391,5449000
2018-01-18,86.160004,87.930000,85.949997,87.260002,83.064102,7328600
2018-01-19,87.580002,87.900002,86.029999,86.680000,82.511986,7314800
2018-01-22,86.419998,86.570000,85.400002,86.050003,81.912292,5926900
2018-01-23,86.220001,86.220001,84.980003,85.230003,81.131714,4962300
2018-01-24,85.830002,86.129997,85.160004,85.760002,81.636230,5680200
2018-01-25,85.989998,86.980003,85.660004,86.820000,82.645264,3947800
2018-01-26,86.860001,87.180000,86.360001,87.120003,82.930840,3815100
2018-01-29,86.849998,87.300003,86.320000,86.720001,82.550079,3804900
2018-01-30,85.930000,86.720001,85.750000,85.959999,81.826614,3881700
2018-01-31,86.330002,86.500000,85.620003,85.889999,81.759979,5258300
2018-02-01,85.379997,85.680000,84.629997,84.980003,80.893730,4201600
2018-02-02,84.669998,85.250000,84.360001,84.449997,80.389206,5564500
2018-02-05,84.070000,84.580002,80.919998,81.419998,77.504921,7237200
2018-02-06,80.059998,82.059998,79.089996,81.669998,77.742897,10190000
2018-02-07,81.400002,82.959999,81.290001,81.349998,77.438286,5929900
2018-02-08,81.330002,81.510002,78.349998,78.379997,74.611099,7346100
2018-02-09,78.879997,80.080002,77.559998,79.480003,75.658195,6061800
2018-02-12,79.709999,80.750000,79.250000,80.239998,76.381653,4314100
2018-02-13,79.849998,80.589996,79.349998,80.220001,76.362625,4574600
2018-02-14,79.720001,82.059998,79.629997,81.860001,77.923767,5000000
2018-02-15,82.410004,82.980003,81.949997,82.940002,78.951828,4002000
2018-02-16,82.800003,83.760002,82.120003,83.309998,79.304039,6863500
2018-02-20,83.139999,83.370003,80.870003,81.610001,77.685783,11125900
2018-02-21,81.430000,81.699997,80.220001,80.720001,76.838585,6805700
2018-02-22,80.910004,81.809998,80.209999,80.410004,76.543488,4528200
2018-02-23,80.949997,81.199997,79.889999,80.389999,76.524445,5174100
2018-02-26,81.400002,82.480003,80.320000,82.419998,78.456833,6201200
2018-02-27,82.620003,82.690002,81.070000,81.239998,77.333565,5179400
2018-02-28,81.519997,81.610001,79.839996,79.889999,76.048492,6712100
2018-03-01,79.790001,79.830002,77.769997,78.300003,74.534935,7946100
2018-03-02,77.900002,78.500000,77.690002,78.330002,74.563499,5695900
2018-03-05,77.849998,80.040001,77.750000,79.739998,75.905693,5371700
2018-03-06,80.010002,80.610001,79.839996,80.410004,76.543488,5338300
2018-03-07,79.790001,81.320000,79.629997,81.129997,77.228867,6040200
2018-03-08,81.330002,82.250000,81.279999,82.209999,78.256927,6434600
2018-03-09,82.440002,83.389999,82.360001,83.150002,79.151726,4659200
2018-03-12,83.260002,83.720001,83.000000,83.300003,79.294525,4218700
2018-03-13,83.750000,84.180000,83.250000,83.470001,79.456352,4678800
2018-03-14,83.779999,83.959999,81.910004,82.300003,78.342606,5182300
2018-03-15,82.389999,82.510002,81.660004,82.029999,78.085587,3453700
2018-03-16,82.360001,82.570000,81.290001,81.290001,77.381165,9386600
2018-03-19,81.279999,81.620003,79.389999,80.129997,76.276939,4601300
2018-03-20,80.529999,81.000000,79.400002,79.900002,76.058014,4267000
2018-03-21,79.900002,80.769997,79.760002,80.040001,76.191277,4329400
2018-03-22,79.160004,79.809998,78.000000,78.139999,74.812592,4455900
2018-03-23,78.209999,78.599998,76.410004,76.550003,73.290306,6070300
2018-03-26,77.440002,78.529999,76.570000,78.459999,75.118965,6635500
2018-03-27,78.739998,79.500000,77.650002,78.160004,74.831741,5458700
2018-03-28,78.389999,79.250000,78.260002,78.459999,75.118965,5299700
2018-03-29,79.260002,80.919998,78.779999,80.220001,76.804031,6162300
2018-04-02,79.790001,79.900002,76.620003,77.480003,74.180710,6409800
2018-04-03,77.760002,78.550003,77.279999,78.349998,75.013649,4444000
2018-04-04,77.239998,78.949997,76.919998,78.720001,75.367897,4134600
2018-04-05,79.019997,80.080002,78.690002,79.699997,76.306160,4183500
2018-04-06,79.199997,79.820000,77.129997,77.639999,74.333878,5186000
2018-04-09,78.269997,79.639999,77.870003,78.459999,75.118965,4708400
2018-04-10,79.129997,79.690002,78.779999,79.290001,75.913620,4718300
2018-04-11,78.629997,79.279999,78.250000,78.589996,75.243439,3751500
2018-04-12,79.160004,80.110001,79.150002,79.839996,76.440201,3571500
2018-04-13,80.169998,80.239998,79.129997,79.570000,76.181702,3997200
2018-04-16,80.190002,81.250000,80.029999,80.599998,77.167831,3628300
2018-04-17,81.029999,81.239998,79.959999,80.629997,77.196571,4611200
2018-04-18,80.889999,81.040001,80.169998,80.190002,76.775291,6131400
2018-04-19,80.199997,80.599998,79.639999,80.000000,76.593384,3791900
2018-04-20,80.099998,80.489998,79.480003,79.900002,76.497658,3690900
2018-04-23,80.150002,80.449997,79.820000,80.019997,76.612541,2735900
2018-04-24,80.500000,80.570000,78.570000,79.370003,75.990219,4937200
2018-04-25,79.019997,79.500000,78.519997,79.459999,76.076385,3935100
2018-04-26,79.699997,80.860001,79.199997,80.589996,77.158257,5155900
2018-04-27,80.360001,81.410004,80.150002,81.290001,77.828461,4191500
2018-04-30,81.400002,81.459999,80.029999,80.129997,76.717850,6071800
2018-05-01,79.599998,81.029999,79.500000,81.010002,77.560379,2986700
2018-05-02,80.730003,80.790001,79.730003,79.919998,76.516792,4145500
2018-05-03,79.239998,79.739998,78.290001,79.580002,76.191277,4534300
2018-05-04,79.330002,81.190002,79.010002,81.080002,77.627396,3563900
2018-05-07,82.379997,85.360001,82.209999,84.820000,81.208145,10825200
2018-05-08,84.320000,84.320000,82.760002,83.199997,79.657120,7132300
2018-05-09,83.330002,84.339996,82.430000,84.059998,80.480507,4934200
2018-05-10,84.320000,85.769997,84.019997,85.680000,82.031525,4728100
2018-05-11,85.599998,86.000000,85.220001,85.559998,81.916626,4021100
2018-05-14,85.510002,86.330002,85.010002,86.180000,82.510216,4244500
2018-05-15,85.580002,85.720001,83.980003,84.370003,80.777306,4544900
2018-05-16,84.459999,86.220001,84.419998,85.550003,81.907066,4058700
2018-05-17,85.370003,85.440002,84.589996,85.110001,81.485802,3542100
2018-05-18,84.730003,84.910004,84.000000,84.639999,81.035812,4705500
2018-05-21,85.250000,85.809998,85.050003,85.320000,81.686852,3747400
2018-05-22,85.360001,85.599998,84.910004,84.970001,81.351768,4593700
2018-05-23,84.540001,86.180000,84.510002,85.260002,81.629410,5237600
2018-05-24,86.349998,88.650002,86.000000,86.989998,83.285744,8861000
2018-05-25,86.989998,88.260002,85.769997,86.300003,82.625130,4685500
2018-05-29,85.580002,85.720001,84.610001,85.389999,81.753868,4539500
2018-05-30,85.720001,86.559998,85.309998,85.889999,82.232590,4236800
2018-05-31,85.559998,86.669998,85.500000,86.320000,82.644264,4816700
2018-06-01,86.849998,88.080002,86.540001,87.830002,84.089966,5438300
2018-06-04,87.919998,88.169998,87.349998,87.519997,83.793167,4507400
2018-06-05,87.220001,87.870003,86.110001,86.660004,82.969795,5409700
2018-06-06,86.800003,87.339996,86.080002,87.239998,83.525085,5424600
2018-06-07,87.320000,87.610001,85.959999,86.629997,82.941063,5350300
2018-06-08,86.699997,87.300003,86.510002,87.180000,83.467644,4566600
2018-06-11,86.910004,87.050003,86.040001,86.589996,82.902771,4313000
2018-06-12,86.930000,87.199997,86.349998,86.690002,82.998520,4311900
2018-06-13,86.730003,86.900002,85.559998,85.839996,82.184715,3735200
2018-06-14,86.120003,86.660004,85.919998,86.570000,82.883629,3756400
2018-06-15,86.730003,86.989998,85.900002,86.779999,83.084686,6532200
2018-06-18,86.059998,86.300003,85.589996,86.250000,82.577240,3002600
2018-06-19,85.559998,86.809998,85.349998,86.610001,82.921921,4510200
2018-06-20,86.459999,86.669998,85.830002,86.129997,82.462357,4334200
2018-06-21,86.279999,86.800003,85.629997,86.300003,82.625130,3404300
2018-06-22,86.660004,87.580002,86.610001,86.809998,83.113396,5406100
2018-06-25,86.699997,86.949997,85.669998,86.739998,83.046379,5242700
2018-06-26,86.720001,87.339996,86.360001,86.860001,83.161270,8009500
2018-06-27,86.430000,86.510002,85.389999,85.489998,81.849609,6347900
2018-06-28,85.519997,86.540001,85.349998,86.330002,82.653854,3948400
2018-06-29,84.680000,86.680000,84.580002,85.610001,81.964516,5082500
2018-07-02,84.379997,86.110001,83.610001,86.029999,82.366623,4677100
2018-07-03,85.279999,86.870003,85.279999,85.980003,82.318756,3002500
2018-07-05,85.389999,86.000000,85.300003,85.910004,82.732849,3148800
2018-07-06,85.809998,87.029999,85.580002,86.629997,83.426216,3618100
2018-07-09,86.529999,87.230003,86.379997,87.129997,83.907722,3476800
2018-07-10,87.169998,87.529999,87.110001,87.389999,84.158112,3489600
2018-07-11,86.790001,87.580002,86.570000,87.260002,84.032921,3858300
2018-07-12,87.489998,87.970001,86.980003,87.870003,84.620361,3507200
2018-07-13,87.889999,88.599998,87.889999,88.360001,85.092239,4441800
2018-07-16,88.199997,88.300003,87.529999,87.730003,84.485527,2833200
2018-07-17,87.870003,88.830002,87.730003,88.290001,85.024834,5026700
2018-07-18,88.290001,88.769997,87.900002,88.010002,84.755188,5015800
2018-07-19,87.900002,88.930000,87.879997,88.419998,85.150024,3975000
2018-07-20,87.779999,88.550003,87.709999,88.019997,84.764816,4313100
2018-07-23,87.589996,88.730003,87.449997,88.629997,85.352264,2953900
2018-07-24,88.820000,89.190002,88.529999,88.910004,85.621910,3202900
2018-07-25,88.650002,89.949997,88.650002,89.730003,86.411583,3438100
2018-07-26,89.949997,90.040001,89.129997,89.260002,85.958969,3884900
2018-07-27,89.290001,89.360001,88.169998,88.660004,85.381142,4486600
2018-07-30,88.709999,89.330002,88.510002,89.080002,85.785614,4178000
2018-07-31,89.360001,90.349998,88.870003,90.230003,86.893089,6244300
2018-08-01,89.959999,90.739998,89.709999,90.239998,86.902710,4810200
2018-08-02,89.790001,90.389999,89.480003,89.889999,86.565643,3395000
2018-08-03,89.800003,90.599998,89.570000,90.480003,87.133842,2611000
2018-08-06,90.349998,90.849998,90.070000,90.589996,87.239769,2946100
2018-08-07,90.639999,91.019997,90.250000,90.849998,87.490158,3521700
2018-08-08,90.809998,91.230003,90.430000,90.809998,87.451630,4692300
2018-08-09,90.809998,91.470001,90.809998,91.220001,87.846474,3852100
2018-08-10,90.870003,91.129997,90.080002,90.599998,87.249397,3444200
2018-08-13,90.500000,91.419998,90.290001,90.739998,87.384216,5030300
2018-08-14,90.699997,91.500000,90.639999,91.050003,87.682777,3875300
2018-08-15,90.910004,91.160004,90.230003,90.989998,87.624969,4082600
2018-08-16,91.269997,91.370003,90.839996,91.099998,87.730904,4190300
2018-08-17,91.290001,91.339996,90.419998,90.599998,87.249397,8973200
2018-08-20,90.650002,90.879997,89.870003,90.029999,86.700478,6630800
2018-08-21,94.000000,95.790001,93.000000,95.169998,91.650391,14732400
2018-08-22,94.870003,96.139999,94.220001,95.580002,92.045235,8582500
2018-08-23,95.360001,96.500000,95.199997,95.610001,92.074112,6545400
2018-08-24,95.660004,96.180000,95.389999,95.550003,92.016335,5332200
2018-08-27,95.610001,95.919998,95.050003,95.440002,91.910408,5593300
2018-08-28,95.550003,96.239998,95.440002,95.769997,92.228203,5151000
2018-08-29,95.860001,96.739998,95.699997,96.589996,93.017876,3809900
2018-08-30,96.440002,97.379997,96.309998,96.809998,93.229744,4523700
2018-08-31,96.320000,96.760002,96.000000,96.410004,92.844536,4239500
2018-09-04,96.570000,96.690002,95.300003,95.559998,92.025970,4448600
2018-09-05,95.449997,96.120003,95.110001,96.040001,92.488213,4451800
2018-09-06,95.809998,96.910004,95.620003,96.489998,92.921570,4943900
2018-09-07,96.300003,96.889999,96.129997,96.320000,92.757866,5664200
2018-09-10,96.639999,97.059998,96.309998,96.370003,92.806007,3188000
2018-09-11,96.180000,96.620003,95.510002,96.080002,92.526733,3573700
2018-09-12,96.029999,96.519997,95.760002,96.250000,92.690453,3667200
2018-09-13,96.529999,97.000000,96.379997,96.949997,93.364563,3972800
2018-09-14,96.949997,97.279999,96.650002,97.010002,93.422348,3303000
2018-09-17,97.010002,97.150002,95.820000,96.029999,92.478584,3989000
2018-09-18,95.809998,97.040001,95.790001,96.879997,93.297150,4477200
2018-09-19,97.269997,97.379997,96.250000,96.459999,92.892677,3184900
2018-09-20,97.180000,97.760002,96.809998,97.480003,93.874962,4337400
2018-09-21,97.589996,98.000000,96.959999,97.849998,94.231270,7973700
2018-09-24,97.989998,98.959999,97.720001,98.860001,95.203926,5640100
2018-09-25,99.010002,99.650002,98.730003,99.000000,95.338745,5694300
2018-09-26,99.349998,100.150002,98.839996,99.169998,95.502464,5693900
2018-09-27,98.820000,100.000000,97.269997,97.699997,94.563599,4710700
2018-09-28,97.620003,98.879997,97.199997,98.370003,95.212097,4430800
2018-10-01,98.720001,99.660004,98.500000,99.489998,96.296127,3633000
2018-10-02,99.269997,99.470001,98.470001,99.019997,95.841217,3880000
2018-10-03,99.349998,99.769997,97.110001,97.470001,94.340981,4449700
2018-10-04,97.150002,97.629997,96.349998,96.980003,93.866730,4211200
2018-10-05,97.260002,97.709999,96.230003,97.169998,94.050621,4631000
2018-10-08,96.750000,97.169998,95.139999,95.970001,92.889137,4650300
2018-10-09,95.680000,96.500000,95.370003,96.190002,93.102074,3179100
2018-10-10,96.099998,96.809998,94.910004,95.070000,92.018021,5841100
2018-10-11,95.029999,95.629997,92.650002,93.110001,90.120956,7177300
